Station Name,Entry_MTT,Entry_FRI
Moorgate,48037,41866
Morden,16948,17225
Mornington Crescent,7970,8027
Mudchute,3130,3307
Neasden,6022,6276
New Cross,7016,7298
New Cross Gate,10036,10216
Newbury Park,9249,9074
North Acton,10449,10669
North Ealing,1372,1455
North Greenwich,39232,44791
North Harrow,3337,3326
North Wembley,2974,2998
Northfields,6263,6294
Northolt,8274,8448
Northwick Park,8048,7971
Northwood,4678,4833
Northwood Hills,3367,3403
Norwood Junction,7200,6818
Notting Hill Gate,21592,24008
Oakwood,4235,4301
Old Street,44506,45429
Osterley,3452,3511
Oval,11936,12743
Oxford Circus,113393,129499
Paddington,12471,12374
Paddington,66412,67145
Park Royal,3346,3330
Parsons Green,11649,11585
Peckham Rye,11949,12207
Penge West,1355,1416
Perivale,4232,4207
Piccadilly Circus,54140,68589
Pimlico,18296,17358
Pinner,6090,6232
Plaistow,10153,10355
Pontoon Dock,3874,4082
Poplar,4719,4540
Preston Road,5565,5692
Prince Regent,4556,3928
Pudding Mill Lane,1159,1135
Putney Bridge,9105,8859
Queen's Park,9419,9589
Queens Road Peckham,6096,5984
Queensbury,7195,7148
Queensway,11431,13001
Ravenscourt Park,5899,6087
Rayners Lane,6853,6853
Rectory Road,1916,1262
Redbridge,4944,5000
Regent's Park,5816,5480
Richmond,13965,14375
Rickmansworth,4058,4198
Roding Valley,821,877
Romford,13861,13239
Rotherhithe,3259,3432
Royal Albert,2960,3078
Royal Oak,4677,4513
Royal Victoria,6264,7150
Ruislip,3268,3252
Ruislip Gardens,1918,1861
Ruislip Manor,3243,3278
Russell Square,20091,19398
Seven Kings,6416,6617
Seven Sisters,29004,30302
Shadwell DLR,13089,12851
Shadwell LO,10201,10564
Shenfield,3437,3226
Shepherd's Bush,32744,35808
Shepherd's Bush Market,5762,6291
Shepherd's Bush,2250,2171
Shoreditch High Street,14485,16006
Silver Street,4411,4298
Sloane Square,27560,27477
Snaresbrook,4227,4202
South Acton,2760,2800
South Ealing,5650,5855
South Hampstead,975,984
South Harrow,3514,3676
South Kensington,52067,55102
South Kenton,2258,2412
South Quay,9643,8901
South Ruislip,3280,3268
South Tottenham,2004,1980
South Wimbledon,8399,8413
South Woodford,7914,8469
Southall,6556,6678
Southbury,2185,2130
Southfields,10885,10977
Southgate,8624,8613
Southwark,28359,26813
St James Street,2016,1894
St. James's Park,27355,23457
St. John's Wood,12691,13116
St. Paul's,28926,28943
Stamford Brook,4888,4895
Stamford Hill,1630,1558
Stanmore,6109,6296
Star Lane,2630,2383
Stepney Green,10945,10985
Stockwell,19582,20646
Stoke Newington,2543,2382
Stonebridge Park,4606,4622
Stratford,106425,115349
Stratford High Street,1988,1866
Stratford International DLR,6262,6513
Sudbury Hill,3056,3026
Sudbury Town,3066,3071
Surrey Quays,8233,8830
Swiss Cottage,12286,12615
Sydenham,6653,6670
Temple,16660,15274
Theobalds Grove,1306,1283
Theydon Bois,1539,1566
Tooting Bec,13203,13607
Tooting Broadway,25588,26914
Tottenham Court Road,64199,70840
Tottenham Hale,22664,22499
Totteridge & Whetstone,4373,4409
Tower Gateway,8225,8223
Tower Hill,35891,38606
