name,2017,2016,2015
Rayners Lane,4.32,4.46,4.51
Redbridge,2.94,3.05,2.93
Regent's Park,3.61,3.35,3.54
Richmond,8.33,8.11,8.66
Rickmansworth,2.71,2.46,2.44
Roding Valley,0.37,0.37,0.26
Royal Oak,2.62,2.55,2.49
Ruislip,1.99,1.95,1.9
Ruislip Gardens,1.16,1.07,1.11
Ruislip Manor,2.04,1.99,2.01
Russell Square,11.45,12.35,13.33
St. James's Park,14.29,14.93,15.7
St. John's Wood,7.79,7.79,7.88
St. Paul's,17.2,18.42,17.37
Seven Sisters,18.33,18.61,17.52
Shepherd's Bush (Cen),22.62,22.85,22.26
Sloane Square,17.23,17.15,17.2
Snaresbrook,2.93,2.69,2.67
South Ealing,3.66,3.62,3.7
Southfields,6.03,6.28,6.17
Southgate,5.59,5.65,5.56
South Harrow,2.22,2.48,2.58
South Kensington,33.86,33.6,33.87
South Kenton,1.21,1.17,0.96
South Ruislip,2.02,1.76,1.72
South Wimbledon,4.87,4.76,4.57
South Woodford,5.28,5.25,5.15
Stamford Brook,2.69,2.7,2.7
Stanmore,3.92,4.04,3.97
Stepney Green,6.34,6.41,5.85
Stockwell,11.7,11.42,11.08
Stonebridge Park,2.54,2.53,2.67
Charing Cross,19.47,8.13,20.69
Stratford,61.99,67.05,61.44
Sudbury Hill,1.88,1.98,2.22
Sudbury Town,1.81,2,2.18
Swiss Cottage,7.76,7.58,7.71
Temple,8.95,8.22,8.6
Theydon Bois,0.95,0.85,0.85
Tooting Bec,8.07,7.92,7.93
Tooting Broadway,16.21,15.92,15.74
Tottenham Court Road,41.33,39.35,16.25
Tottenham Hale,12.47,13.21,11.95
Totteridge & Whetstone,2.54,2.23,2.33
Tower Hill,21.03,21.83,22.18
Tufnell Park,4.11,3.71,0
Turnham Green,6.16,5.65,6.45
Turnpike Lane,10.74,10.86,10.79
Upminster,5.52,5.34,5.14
Upminster Bridge,1.15,1.16,1.15
Upney,2.7,2.72,2.68
Upton Park,9.59,10.14,11.41
Uxbridge,8.38,8.45,8.34
Victoria,79.36,83.5,82.89
Walthamstow Central,9.59,22.77,18.33
Wanstead,2.95,2.96,2.9
Warren Street,20.11,20.35,19.92
Warwick Avenue,4.27,4.51,4.5
Waterloo,91.27,100.36,95.14
Watford,1.86,1.84,1.85
Wembley Central,5.93,5.77,5.79
Wembley Park,16.58,15.1,14.54
West Acton,1.72,1.82,1.74
Westbourne Park,4.13,3.98,3.79
West Brompton,5.88,6.1,5.17
West Finchley,1.69,1.67,1.61
West Ham,4.41,3.46,3.81
West Hampstead,11.8,11.04,11.16
West Harrow,1.53,1.49,1.33
West Kensington,5.23,5.06,5.32
Westminster,25.6,28.38,25.61
West Ruislip,1.72,1.67,1.56
Whitechapel,13.8,14.37,11.7
White City,8.84,8.95,7.7
Willesden Green,8.8,8.97,8.96
Willesden Junction,4.68,4.73,4.6
Wimbledon,12.61,13.4,15.63
Wimbledon Park,2.18,1.89,1.82
Woodford,5.98,5.69,6.03
Wood Green,12.89,13.2,13.19
Woodside Park,3.54,2.87,2.82
Hammersmith (H&C),10.85,10.57,10.7
Edgware Road (Bak),4.62,5.01,4.5
Shepherd's Bush (H&C),3.73,3.57,3.41
Pimlico,10.97,11.49,11.26
Vauxhall,30.83,32.23,26.83
Brixton,32.84,33.46,30.83
Hatton Cross,3.21,3.25,3.2
Heathrow Terminals 123,7.81,7.73,7.49
Heathrow Terminal 4,2.29,2.28,2.35
Heathrow Terminal 5,4.53,4.45,3.9
Southwark,16.71,17.86,17.94
Bermondsey,10.64,11.07,10.16
Canada Water,15.1,14.44,12.78
North Greenwich,28.15,26.45,26.38
Canary Wharf,50.91,54.79,54.44
Canning Town,13.28,11.91,10.92
