LSOA code,LSOA name,Value
E01000720,Bromley 019B,"310,000"
E01000721,Bromley 019C,"288,750"
E01000722,Bromley 023A,"418,500"
E01000723,Bromley 029A,"430,750"
E01000724,Bromley 019D,"345,000"
E01000725,Bromley 023B,"365,000"
E01000726,Bromley 029B,"427,500"
E01000727,Bromley 028A,"410,000"
E01000728,Bromley 019E,"372,500"
E01000729,Bromley 014A,"350,000"
E01000730,Bromley 014B,"362,500"
E01000731,Bromley 023C,"425,000"
E01000732,Bromley 023D,"705,500"
E01000733,Bromley 023E,"455,000"
E01000734,Bromley 028B,"430,000"
E01000735,Bromley 014C,"410,000"
E01000736,Bromley 010C,"385,000"
E01000737,Bromley 010D,"329,000"
E01000738,Bromley 014D,"400,000"
E01000739,Bromley 014E,"372,500"
E01000740,Bromley 005A,"313,251"
E01000741,Bromley 005B,"317,750"
E01000742,Bromley 005C,"372,500"
E01000743,Bromley 009A,"301,500"
E01000744,Bromley 009B,"320,000"
E01000745,Bromley 005D,"392,500"
E01000746,Bromley 005E,"485,000"
E01000747,Bromley 042B,"650,000"
E01000748,Bromley 042C,"625,000"
E01000749,Bromley 036A,"660,000"
E01000750,Bromley 036B,"400,000"
E01000751,Bromley 036C,"447,250"
E01000752,Bromley 036D,"443,000"
E01000753,Bromley 031A,"725,000"
E01000754,Bromley 031B,"534,000"
E01000755,Bromley 031C,"500,000"
E01000756,Bromley 033D,"1,750,000"
E01000757,Bromley 031D,"752,500"
E01000758,Bromley 031E,"625,000"
E01000759,Bromley 034A,"635,000"
E01000760,Bromley 034B,"608,000"
E01000761,Bromley 034C,"586,250"
E01000762,Bromley 018D,"440,000"
E01000763,Bromley 027A,"736,250"
E01000764,Bromley 027B,"531,250"
E01000765,Bromley 034D,"550,000"
E01000766,Bromley 027C,"700,000"
E01000767,Bromley 027D,"620,000"
E01000768,Bromley 034E,"642,500"
E01000769,Bromley 024A,"587,500"
E01000770,Bromley 012D,"635,000"
E01000771,Bromley 041C,"750,000"
E01000772,Bromley 012E,"490,000"
E01000773,Bromley 024B,"634,000"
E01000774,Bromley 041D,"530,000"
E01000775,Bromley 024C,"690,000"
E01000777,Bromley 024D,"647,250"
E01000778,Bromley 024E,"527,500"
E01000779,Bromley 001A,"385,000"
E01000780,Bromley 001B,"470,000"
E01000781,Bromley 001C,"362,500"
E01000782,Bromley 001D,"357,500"
E01000783,Bromley 001E,"370,000"
E01000784,Bromley 002E,"503,750"
E01000785,Bromley 001F,"335,000"
E01000786,Bromley 032A,"525,000"
E01000787,Bromley 029C,"362,500"
E01000788,Bromley 029D,"440,000"
E01000789,Bromley 032B,
E01000790,Bromley 028C,"468,000"
E01000791,Bromley 029E,"485,000"
E01000792,Bromley 032C,"452,500"
E01000793,Bromley 032D,"675,000"
E01000794,Bromley 035E,"625,000"
E01000795,Bromley 032E,"561,000"
E01000796,Bromley 009C,"276,000"
E01000797,Bromley 013E,"580,000"
E01000798,Bromley 009D,"407,500"
E01000799,Bromley 004A,"460,000"
E01000800,Bromley 009E,"370,000"
E01000801,Bromley 015E,"465,075"
E01000802,Bromley 004B,"561,000"
E01000803,Bromley 004C,"458,000"
E01000804,Bromley 004D,"564,000"
E01000805,Bromley 004E,"587,750"
E01000806,Bromley 009F,"349,000"
E01000807,Bromley 022C,"806,500"
E01000808,Bromley 025A,"725,000"
E01000809,Bromley 022D,"592,500"
E01000810,Bromley 025B,"895,000"
E01000811,Bromley 025C,"585,000"
E01000812,Bromley 028D,"460,000"
E01000813,Bromley 025D,"632,500"
E01000814,Bromley 028E,"900,000"
E01000815,Bromley 025E,"935,000"
E01000816,Bromley 040A,"470,000"
E01000818,Bromley 040B,"552,000"
E01000819,Bromley 040C,"415,000"
E01000820,Bromley 008C,"527,500"
E01000822,Bromley 008D,"370,000"
E01000823,Bromley 008E,"485,000"
E01000824,Bromley 008F,"412,500"
E01000825,Bromley 008G,"391,250"
E01000826,Bromley 021A,"1,158,000"
E01000827,Bromley 021B,"425,000"
E01000828,Bromley 011E,"430,000"
E01000829,Bromley 018E,"515,000"
E01000830,Bromley 021C,"1,200,000"
E01000831,Bromley 021D,"362,500"
E01000832,Bromley 030A,"690,000"
E01000833,Bromley 021E,"819,000"
E01000834,Bromley 027E,"660,000"
E01000835,Bromley 030B,"560,000"
E01000836,Bromley 030C,"630,000"
E01000837,Bromley 030D,"540,000"
E01000838,Bromley 030E,"600,000"
E01000839,Bromley 030F,"685,000"
E01000840,Bromley 030G,"775,000"
E01000841,Bromley 030H,"590,000"
E01032562,Bromley 040D,"360,000"
E01032563,Bromley 040E,"600,000"
E01032568,Bromley 041E,"445,750"
E01032570,Bromley 042D,"455,000"
E01000842,Camden 011A,"725,000"
E01000843,Camden 014A,"865,000"
E01000844,Camden 011B,"1,100,000"
E01000845,Camden 014B,"870,000"
E01000846,Camden 014C,"1,575,000"
E01000847,Camden 014D,"1,535,000"
E01000848,Camden 011C,"1,007,500"
E01000849,Camden 011D,"612,500"
E01000850,Camden 026A,"826,250"
E01000851,Camden 026B,"772,125"
E01000852,Camden 026C,
E01000853,Camden 025A,
E01000854,Camden 026D,"690,000"
E01000855,Camden 028A,"290,000"
E01000856,Camden 019A,"457,250"
E01000857,Camden 018A,"975,000"
E01000858,Camden 018B,
E01000859,Camden 018C,"1,500,000"
E01000860,Camden 018D,"1,340,000"
E01000861,Camden 019B,"555,000"
E01000862,Camden 018E,"1,350,000"
E01000863,Camden 021A,"821,250"
E01000864,Camden 015A,"675,000"
E01000865,Camden 015B,"848,750"
E01000866,Camden 009A,"532,500"
E01000867,Camden 015C,"585,000"
E01000868,Camden 015D,"700,000"
E01000869,Camden 015E,"527,500"
E01000870,Camden 009B,"538,000"
E01000871,Camden 005A,"718,000"
E01000872,Camden 005B,"448,000"
E01000873,Camden 005C,"930,000"
E01000874,Camden 005D,"1,155,000"
E01000875,Camden 013A,"414,400"
E01000876,Camden 013B,"445,000"
E01000877,Camden 005E,"1,030,000"
E01000878,Camden 004A,"975,000"
E01000879,Camden 004B,"1,107,500"
E01000880,Camden 004C,"1,190,000"
E01000881,Camden 008A,"875,000"
E01000882,Camden 008B,"750,000"
E01000883,Camden 008C,"1,000,000"
E01000884,Camden 004D,"1,379,000"
E01000885,Camden 004E,"1,675,000"
E01000886,Camden 006A,"828,000"
E01000887,Camden 006B,"595,750"
E01000888,Camden 006C,"1,730,000"
E01000889,Camden 007A,"448,750"
E01000890,Camden 007B,
E01000891,Camden 007C,"427,000"
E01000892,Camden 006D,"775,000"
E01000893,Camden 002A,"986,000"
E01000894,Camden 002B,"1,859,500"
E01000895,Camden 002C,"882,500"
E01000896,Camden 002D,"1,500,000"
E01000897,Camden 008D,"1,110,750"
E01000898,Camden 008E,"899,950"
E01000899,Camden 002E,"2,100,000"
E01000900,Camden 012A,"630,000"
E01000901,Camden 007D,"400,000"
E01000902,Camden 012B,"582,500"
E01000903,Camden 006E,"708,000"
E01000904,Camden 012C,
E01000905,Camden 012D,"442,500"
E01000906,Camden 012E,"606,000"
E01000907,Camden 001A,"1,434,125"
E01000908,Camden 001B,"475,000"
E01000909,Camden 001C,"1,631,000"
E01000910,Camden 003A,"1,475,000"
E01000911,Camden 003B,"553,000"
E01000912,Camden 001D,"641,250"
E01000913,Camden 001E,"2,400,000"
E01000914,Camden 028B,"650,000"
E01000915,Camden 027A,"555,000"
E01000916,Camden 027B,"1,200,000"
E01000917,Camden 027C,"407,500"
E01000918,Camden 028C,"1,625,000"
E01000919,Camden 028D,"1,362,500"
E01000920,Camden 027D,"954,000"
E01000921,Camden 003C,"440,000"
E01000922,Camden 007E,"842,500"
E01000923,Camden 003D,"777,500"
E01000924,Camden 009C,"707,500"
E01000925,Camden 009D,"465,000"
E01000926,Camden 009E,"490,000"
E01000927,Camden 007F,"885,000"
E01000928,Camden 003E,"812,500"
E01000929,Camden 020A,"685,000"
E01000930,Camden 020B,"375,000"
E01000931,Camden 013C,"581,250"
E01000932,Camden 013D,"567,501"
E01000933,Camden 020C,"572,620"
E01000934,Camden 020D,"550,000"
E01000935,Camden 020E,"445,000"
E01000936,Camden 024A,
E01000937,Camden 025B,"317,000"
E01000938,Camden 024B,
E01000939,Camden 024C,
E01000940,Camden 024D,
E01000941,Camden 025C,
E01000942,Camden 025D,"475,000"
E01000943,Camden 025E,"482,500"
E01000944,Camden 023A,
E01000945,Camden 023B,
E01000946,Camden 021B,"2,700,000"
E01000947,Camden 021C,"651,750"
E01000948,Camden 021D,"1,100,000"
E01000949,Camden 023C,
E01000950,Camden 023D,
E01000951,Camden 023E,
E01000952,Camden 022A,
E01000953,Camden 022B,"725,000"
E01000954,Camden 022C,
E01000955,Camden 022D,
E01000956,Camden 022E,
E01000957,Camden 019C,"554,100"
E01000958,Camden 019D,"530,000"
E01000959,Camden 019E,
E01000960,Camden 017A,"635,000"
E01000961,Camden 017B,"630,000"
E01000962,Camden 016A,"887,588"
E01000963,Camden 017C,"1,237,500"
E01000964,Camden 016B,"850,000"
E01000965,Camden 016C,"600,000"
E01000966,Camden 016D,"1,035,000"
E01000967,Camden 017D,"1,250,000"
E01000968,Camden 016E,"682,500"
E01000969,Camden 010A,"737,500"
E01000970,Camden 010B,"645,000"
E01000971,Camden 010C,"1,287,500"
E01000972,Camden 010D,"920,000"
E01000973,Camden 010E,"577,500"
E01000974,Camden 013E,"685,000"
E01000975,Croydon 022A,"425,000"
E01000976,Croydon 022B,"387,000"
E01000977,Croydon 022C,"285,000"
E01000978,Croydon 022D,"265,000"
E01000979,Croydon 022E,"460,000"
E01000980,Croydon 017A,"377,500"
E01000981,Croydon 017B,"427,500"
E01000982,Croydon 017C,"382,000"
E01000983,Croydon 017D,"432,500"
E01000984,Croydon 022F,"325,000"
E01000985,Croydon 021A,"570,000"
E01000986,Croydon 021B,"607,000"
E01000987,Croydon 021C,"525,000"
E01000989,Croydon 018A,"470,000"
E01000990,Croydon 045A,"323,000"
E01000991,Croydon 018B,"565,000"
E01000992,Croydon 014A,"420,000"
E01000993,Croydon 021D,"460,000"
E01000994,Croydon 009A,"385,000"
E01000995,Croydon 009B,"270,000"
E01000996,Croydon 009C,"416,000"
E01000997,Croydon 009D,"415,000"
E01000998,Croydon 010A,"307,500"
E01000999,Croydon 009E,"412,500"
E01001000,Croydon 010B,"375,000"
E01001001,Croydon 013A,"352,500"
E01001002,Croydon 009F,"370,000"
E01001003,Croydon 010C,"340,000"
E01001004,Croydon 015A,"290,000"
E01001005,Croydon 019A,"360,000"
E01001006,Croydon 016A,"282,000"
E01001007,Croydon 016B,"417,500"
E01001008,Croydon 019B,"380,000"
E01001009,Croydon 019C,"337,000"
E01001010,Croydon 019D,"387,000"
E01001011,Croydon 019E,"350,000"
E01001012,Croydon 020A,"275,000"
E01001013,Croydon 020B,"300,000"
E01001014,Croydon 024A,"335,000"
E01001015,Croydon 041A,"485,000"
E01001016,Croydon 041B,"500,000"
E01001017,Croydon 043A,"622,505"
E01001018,Croydon 044A,"541,250"
E01001019,Croydon 044B,"607,500"
E01001020,Croydon 044C,"493,000"
E01001021,Croydon 044D,"360,000"
E01001022,Croydon 044E,"473,750"
E01001023,Croydon 041C,"370,000"
E01001024,Croydon 043B,"461,000"
E01001025,Croydon 043C,"509,000"
E01001026,Croydon 043D,"460,000"
E01001027,Croydon 043E,"576,000"
E01001028,Croydon 038A,"880,000"
E01001029,Croydon 038B,"468,750"
E01001030,Croydon 038C,"710,172"
E01001031,Croydon 038D,"716,000"
E01001032,Croydon 035A,"775,000"
E01001033,Croydon 031A,"447,500"
E01001034,Croydon 031B,"353,250"
E01001035,Croydon 027A,"321,500"
E01001036,Croydon 029A,"400,000"
E01001037,Croydon 029B,"362,000"
E01001038,Croydon 029C,"335,000"
E01001039,Croydon 029D,"660,000"
E01001040,Croydon 029E,"357,500"
E01001041,Croydon 031C,"355,000"
E01001042,Croydon 024B,"325,000"
E01001043,Croydon 027B,"307,500"
E01001044,Croydon 023A,"361,500"
E01001045,Croydon 027C,"255,000"
E01001046,Croydon 023B,"318,000"
E01001047,Croydon 027D,"300,000"
E01001048,Croydon 020C,"287,500"
E01001049,Croydon 023C,"1,150,000"
E01001050,Croydon 023D,"311,000"
E01001051,Croydon 030A,"280,000"
E01001052,Croydon 030B,
E01001053,Croydon 032A,"376,250"
E01001054,Croydon 030C,"304,500"
E01001055,Croydon 032B,"358,750"
E01001056,Croydon 030D,"400,000"
E01001057,Croydon 030E,
E01001058,Croydon 034A,"367,500"
E01001059,Croydon 034B,"300,000"
E01001060,Croydon 034C,"325,000"
E01001061,Croydon 034D,"232,500"
E01001062,Croydon 026A,"680,000"
E01001063,Croydon 026B,"575,000"
E01001064,Croydon 026C,"497,500"
E01001065,Croydon 034E,"346,250"
E01001066,Croydon 034F,
E01001067,Croydon 041D,"677,500"
E01001068,Croydon 042A,"453,900"
E01001069,Croydon 040A,"521,500"
E01001070,Croydon 040B,"505,000"
E01001071,Croydon 042B,"432,500"
E01001072,Croydon 042C,"841,250"
E01001073,Croydon 037A,"438,500"
E01001074,Croydon 041E,"405,000"
E01001075,Croydon 040C,"365,000"
E01001076,Croydon 036A,"371,000"
E01001077,Croydon 032C,"365,500"
E01001078,Croydon 032D,"382,500"
E01001079,Croydon 036B,"349,000"
E01001080,Croydon 036C,
E01001081,Croydon 036D,"387,500"
E01001082,Croydon 032E,
E01001083,Croydon 003A,"685,000"
E01001084,Croydon 002A,"712,000"
E01001085,Croydon 004A,"552,500"
E01001086,Croydon 003B,"540,000"
E01001087,Croydon 003C,"353,750"
E01001088,Croydon 004B,"440,000"
E01001089,Croydon 004C,"382,500"
E01001090,Croydon 004D,"383,000"
E01001091,Croydon 004E,"558,500"
E01001092,Croydon 037B,"440,000"
E01001093,Croydon 037C,"435,000"
E01001094,Croydon 038E,"817,750"
E01001095,Croydon 031D,"395,000"
E01001096,Croydon 037D,"650,000"
E01001097,Croydon 037E,"248,500"
E01001098,Croydon 037F,"622,500"
E01001099,Croydon 040D,"408,750"
E01001100,Croydon 031E,"470,000"
E01001101,Croydon 035B,"635,000"
E01001102,Croydon 035C,"616,500"
E01001103,Croydon 039A,"597,500"
E01001104,Croydon 042D,"580,000"
E01001105,Croydon 039B,"500,000"
E01001106,Croydon 039C,"525,000"
E01001107,Croydon 035D,"491,000"
E01001108,Croydon 035E,"685,000"
E01001109,Croydon 013B,"326,750"
E01001110,Croydon 020D,"270,000"
E01001111,Croydon 010D,"377,250"
E01001112,Croydon 013C,"300,000"
E01001113,Croydon 013D,"338,750"
E01001114,Croydon 013E,"331,500"
E01001115,Croydon 015B,"312,500"
E01001116,Croydon 013F,"360,000"
E01001117,Croydon 015C,"280,000"
E01001118,Croydon 020E,"330,000"
E01001119,Croydon 034G,"425,000"
E01001120,Croydon 033A,"475,000"
E01001121,Croydon 039D,"748,000"
E01001122,Croydon 033B,"615,000"
E01001123,Croydon 033C,"540,000"
E01001124,Croydon 033D,"713,000"
E01001125,Croydon 033E,"510,000"
E01001126,Croydon 034H,"400,000"
E01001127,Croydon 025A,"580,000"
E01001128,Croydon 025B,"445,000"
E01001129,Croydon 026D,"585,000"
E01001130,Croydon 025C,
E01001131,Croydon 018C,"368,000"
E01001132,Croydon 018D,"610,000"
E01001133,Croydon 026E,"390,000"
E01001134,Croydon 018E,"437,000"
E01001135,Croydon 025D,"565,000"
E01001136,Croydon 007A,"290,000"
E01001137,Croydon 001A,"420,000"
E01001138,Croydon 001B,"465,750"
E01001139,Croydon 007B,"377,000"
E01001140,Croydon 007C,"312,500"
E01001141,Croydon 008A,"477,500"
E01001142,Croydon 007D,"540,000"
E01001143,Croydon 008B,"440,000"
E01001144,Croydon 007E,"330,000"
E01001145,Croydon 008C,"247,500"
E01001146,Croydon 006A,"378,000"
E01001147,Croydon 005A,"290,000"
E01001148,Croydon 005B,"425,000"
E01001149,Croydon 006B,"478,750"
E01001150,Croydon 006C,"480,125"
E01001151,Croydon 005C,"384,000"
E01001152,Croydon 005D,"300,000"
E01001153,Croydon 006D,"465,000"
E01001154,Croydon 006E,"356,750"
E01001155,Croydon 010E,"287,000"
E01001156,Croydon 001C,"385,500"
E01001157,Croydon 002B,"550,000"
E01001158,Croydon 005E,"435,000"
E01001159,Croydon 002C,"570,000"
E01001160,Croydon 002D,"555,000"
E01001161,Croydon 003D,"410,000"
E01001162,Croydon 001D,"540,000"
E01001163,Croydon 002E,"470,000"
E01001164,Croydon 001E,"349,200"
E01001165,Croydon 024C,"430,000"
E01001166,Croydon 024D,"359,000"
E01001167,Croydon 028A,"445,000"
E01001168,Croydon 024E,"382,750"
E01001169,Croydon 028B,"418,500"
E01001170,Croydon 027E,"273,250"
E01001171,Croydon 028C,"405,000"
E01001172,Croydon 028D,"420,000"
E01001173,Croydon 028E,"297,500"
E01001174,Croydon 011A,"445,500"
E01001175,Croydon 011B,"400,000"
E01001176,Croydon 011C,"395,000"
E01001177,Croydon 016C,
E01001178,Croydon 015D,
E01001179,Croydon 016D,"400,000"
E01001180,Croydon 016E,"327,500"
E01001181,Croydon 015E,"227,500"
E01001182,Croydon 011D,"470,000"
E01001183,Croydon 011E,"433,500"
E01001184,Croydon 011F,"435,000"
E01001185,Croydon 014B,"363,500"
E01001186,Croydon 014C,"330,000"
E01001187,Croydon 017E,"387,500"
E01001188,Croydon 014D,"390,638"
E01001189,Croydon 045B,"428,000"
E01001190,Croydon 045C,"430,000"
E01001191,Croydon 008D,"330,000"
E01001192,Croydon 008E,"371,000"
E01001193,Croydon 014E,"353,500"
E01001194,Croydon 045D,"442,000"
E01032569,Croydon 045E,"360,000"
E01001195,Ealing 021A,"792,500"
E01001196,Ealing 015A,"295,000"
E01001197,Ealing 021B,"565,000"
E01001198,Ealing 021C,"916,000"
E01001199,Ealing 021D,"510,000"
E01001200,Ealing 025A,"658,750"
E01001201,Ealing 025B,"610,000"
E01001202,Ealing 025C,"410,000"
E01001203,Ealing 025D,"435,000"
E01001204,Ealing 018A,"895,000"
E01001205,Ealing 018B,"415,000"
E01001206,Ealing 018C,
E01001207,Ealing 018D,"775,000"
E01001208,Ealing 018E,"852,250"
E01001209,Ealing 013A,"875,000"
E01001210,Ealing 016A,
E01001211,Ealing 013B,"575,500"
E01001212,Ealing 018F,"550,000"
E01001213,Ealing 023A,
E01001214,Ealing 023B,
E01001215,Ealing 023C,"275,000"
E01001216,Ealing 023D,"285,500"
E01001217,Ealing 014A,"475,000"
E01001218,Ealing 012A,"265,000"
E01001219,Ealing 029A,"275,000"
E01001220,Ealing 029B,
E01001221,Ealing 020A,"630,000"
E01001222,Ealing 019A,"485,000"
E01001223,Ealing 020B,"585,000"
E01001224,Ealing 019B,"1,382,500"
E01001225,Ealing 020C,"830,500"
E01001226,Ealing 019C,"507,500"
E01001227,Ealing 019D,"942,500"
E01001228,Ealing 019E,"435,000"
E01001229,Ealing 031A,"565,000"
E01001230,Ealing 031B,"840,000"
E01001231,Ealing 027A,"1,100,000"
E01001232,Ealing 031C,"490,000"
E01001233,Ealing 031D,"672,000"
E01001234,Ealing 027B,"480,944"
E01001235,Ealing 020D,"510,000"
E01001236,Ealing 020E,"520,000"
E01001237,Ealing 031E,"655,000"
E01001238,Ealing 015B,"300,000"
E01001239,Ealing 015C,
E01001240,Ealing 024A,
E01001241,Ealing 024B,"427,500"
E01001242,Ealing 024C,"1,950,000"
E01001243,Ealing 024D,"440,000"
E01001244,Ealing 024E,"330,000"
E01001245,Ealing 024F,"637,500"
E01001246,Ealing 015D,"515,000"
E01001247,Ealing 015E,"630,000"
E01001248,Ealing 035A,"417,500"
E01001249,Ealing 028A,"515,000"
E01001250,Ealing 028B,"405,400"
E01001251,Ealing 030A,"582,500"
E01001252,Ealing 030B,"518,250"
E01001253,Ealing 030C,"575,000"
E01001254,Ealing 030D,"645,000"
E01001255,Ealing 028C,"695,000"
E01001257,Ealing 008A,"285,000"
E01001258,Ealing 010B,"450,000"
E01001259,Ealing 014B,
E01001260,Ealing 012B,"490,000"
E01001261,Ealing 012C,"445,000"
E01001262,Ealing 010C,"425,000"
E01001263,Ealing 010D,"365,000"
E01001264,Ealing 010E,"490,000"
E01001265,Ealing 006A,"402,500"
E01001266,Ealing 006B,"540,000"
E01001267,Ealing 006C,"347,500"
E01001268,Ealing 012D,"537,500"
E01001269,Ealing 001A,"512,500"
E01001270,Ealing 004A,"495,000"
E01001271,Ealing 001B,"427,500"
E01001272,Ealing 006D,"450,000"
E01001273,Ealing 020F,"1,030,000"
E01001274,Ealing 020G,"826,250"
E01001275,Ealing 020H,"430,000"
E01001276,Ealing 011A,"543,000"
E01001277,Ealing 011B,"325,000"
E01001278,Ealing 011C,"663,750"
E01001279,Ealing 013C,"950,000"
E01001280,Ealing 011D,"480,000"
E01001281,Ealing 013D,"800,000"
E01001282,Ealing 016B,"470,000"
E01001283,Ealing 016C,"454,000"
E01001284,Ealing 022A,"641,500"
E01001285,Ealing 016D,"525,000"
E01001286,Ealing 016E,"528,300"
E01001287,Ealing 016F,
E01001288,Ealing 022B,"735,000"
E01001289,Ealing 022C,"500,000"
E01001290,Ealing 022D,"457,750"
E01001291,Ealing 014C,"520,000"
E01001292,Ealing 014D,"500,000"
E01001293,Ealing 014E,"430,000"
E01001294,Ealing 017A,
E01001295,Ealing 017B,"435,000"
E01001296,Ealing 017C,"395,000"
E01001297,Ealing 017D,"475,000"
E01001298,Ealing 017E,"500,000"
E01001299,Ealing 035B,"887,500"
E01001300,Ealing 039A,"822,500"
E01001301,Ealing 039B,"426,000"
E01001302,Ealing 039C,"518,000"
E01001303,Ealing 032A,"832,500"
E01001304,Ealing 039D,"520,000"
E01001305,Ealing 035C,"810,000"
E01001306,Ealing 035D,"705,000"
E01001307,Ealing 002A,"522,500"
E01001308,Ealing 002B,"662,500"
E01001309,Ealing 001C,"487,500"
E01001310,Ealing 001D,"426,000"
E01001311,Ealing 001E,"410,000"
E01001312,Ealing 002C,"536,000"
E01001313,Ealing 002D,"540,000"
E01001314,Ealing 002E,"540,000"
E01001315,Ealing 003A,"460,000"
E01001316,Ealing 003B,"339,000"
E01001317,Ealing 003C,"390,000"
E01001318,Ealing 003D,"400,000"
E01001319,Ealing 004B,"440,000"
E01001320,Ealing 003E,"295,000"
E01001321,Ealing 003F,"492,500"
E01001322,Ealing 004C,"495,000"
E01001323,Ealing 004D,"297,500"
E01001324,Ealing 008B,"260,000"
E01001325,Ealing 009A,"465,000"
E01001326,Ealing 008C,"400,000"
E01001327,Ealing 009B,"427,500"
E01001328,Ealing 009C,
E01001329,Ealing 009D,"475,000"
E01001330,Ealing 008D,"330,000"
E01001331,Ealing 009E,"350,000"
E01001332,Ealing 008E,"268,500"
E01001333,Ealing 038A,"402,500"
E01001334,Ealing 029C,
E01001335,Ealing 038B,"800,000"
E01001336,Ealing 038C,"660,000"
E01001337,Ealing 029D,"385,000"
E01001338,Ealing 029E,
E01001339,Ealing 029F,
E01001340,Ealing 029G,"375,000"
E01001341,Ealing 005A,
E01001342,Ealing 005B,"520,000"
E01001343,Ealing 005C,"617,500"
E01001344,Ealing 007A,"350,000"
E01001345,Ealing 005D,"500,000"
E01001346,Ealing 007B,"520,000"
E01001347,Ealing 007C,"520,000"
E01001348,Ealing 007D,"510,000"
E01001349,Ealing 006E,"500,000"
E01001350,Ealing 027C,"580,000"
E01001351,Ealing 025E,"530,000"
E01001352,Ealing 027D,"732,500"
E01001353,Ealing 033A,"575,000"
E01001354,Ealing 027E,"620,000"
E01001355,Ealing 033B,"555,000"
E01001356,Ealing 033C,"362,500"
E01001357,Ealing 033D,"529,000"
E01001358,Ealing 033E,"535,000"
E01001359,Ealing 026A,
E01001360,Ealing 026B,
E01001361,Ealing 023E,
E01001362,Ealing 026C,"382,788"
E01001363,Ealing 026D,
E01001364,Ealing 026E,
E01001365,Ealing 026F,
E01001366,Ealing 037A,"390,000"
E01001367,Ealing 037B,
E01001368,Ealing 037C,
E01001369,Ealing 038D,"290,000"
E01001370,Ealing 037D,"311,250"
E01001371,Ealing 037E,
E01001372,Ealing 037F,"328,250"
E01001373,Ealing 037G,"300,000"
E01001374,Ealing 040A,"852,500"
E01001375,Ealing 034A,"1,082,500"
E01001376,Ealing 040B,"535,000"
E01001377,Ealing 034B,"1,792,500"
E01001379,Ealing 034C,"1,175,000"
E01001380,Ealing 040C,"807,500"
E01001381,Ealing 034D,"760,000"
E01001382,Ealing 032B,"1,193,500"
E01001383,Ealing 028D,"746,750"
E01001384,Ealing 032C,"735,000"
E01001385,Ealing 032D,"775,000"
E01001386,Ealing 031F,"740,600"
E01001387,Ealing 032E,"477,500"
E01001388,Ealing 028E,"795,000"
E01001389,Ealing 028F,"611,300"
E01032572,Ealing 040D,"700,000"
E01032743,Ealing 010F,"283,925"
E01032744,Ealing 010G,
E01001390,Enfield 036A,"629,995"
E01001391,Enfield 036B,"472,500"
E01001392,Enfield 032A,"685,000"
E01001393,Enfield 036C,"514,500"
E01001394,Enfield 035A,"300,000"
E01001395,Enfield 035B,"567,500"
E01001396,Enfield 036D,"650,000"
E01001397,Enfield 035C,"326,500"
E01001398,Enfield 021A,"602,500"
E01001399,Enfield 021B,"577,500"
E01001400,Enfield 021C,"645,000"
E01001401,Enfield 016A,"527,000"
E01001402,Enfield 021D,"445,000"
E01001403,Enfield 021E,"515,000"
E01001404,Enfield 026A,"620,000"
E01001405,Enfield 015A,"420,000"
E01001406,Enfield 015B,"472,500"
E01001407,Enfield 005A,"460,000"
E01001408,Enfield 004A,"440,750"
E01001409,Enfield 005B,"295,000"
E01001410,Enfield 005C,"262,000"
E01001411,Enfield 004B,"500,000"
E01001412,Enfield 004C,"470,000"
E01001413,Enfield 004D,"610,000"
E01001414,Enfield 004E,"350,000"
E01001415,Enfield 011A,"452,500"
E01001416,Enfield 013A,"820,000"
E01001417,Enfield 011B,"1,420,000"
E01001418,Enfield 011C,"647,500"
E01001419,Enfield 020A,"467,500"
E01001420,Enfield 020B,"575,000"
E01001421,Enfield 020C,"337,000"
E01001422,Enfield 011D,"2,050,000"
E01001423,Enfield 027A,
E01001424,Enfield 030A,"288,000"
E01001425,Enfield 027B,
E01001426,Enfield 030B,
E01001427,Enfield 030C,"390,000"
E01001428,Enfield 027C,"385,000"
E01001429,Enfield 030D,
E01001430,Enfield 030E,"287,500"
E01001431,Enfield 033A,"326,000"
E01001432,Enfield 033B,"405,000"
E01001433,Enfield 007A,"391,500"
E01001434,Enfield 007B,"401,250"
E01001435,Enfield 007C,"397,000"
E01001436,Enfield 007D,"437,000"
E01001437,Enfield 014A,"400,000"
E01001438,Enfield 007E,"460,000"
E01001439,Enfield 006A,"355,000"
E01001440,Enfield 012A,"303,500"
E01001441,Enfield 006B,"332,500"
E01001442,Enfield 002A,"367,498"
E01001444,Enfield 001A,"420,000"
E01001445,Enfield 003B,"342,500"
E01001446,Enfield 001B,"386,500"
E01001447,Enfield 003C,"377,500"
E01001448,Enfield 003D,"394,500"
E01001449,Enfield 003E,"403,500"
E01001450,Enfield 015C,"320,000"
E01001451,Enfield 017A,"625,000"
E01001452,Enfield 017B,"1,015,000"
E01001453,Enfield 017C,"798,750"
E01001454,Enfield 017D,"850,000"
E01001455,Enfield 021F,"633,100"
E01001456,Enfield 022A,"897,500"
E01001457,Enfield 010A,"431,750"
E01001458,Enfield 037A,"398,000"
E01001459,Enfield 024A,"426,000"
E01001460,Enfield 024B,"350,000"
E01001461,Enfield 027D,
E01001462,Enfield 024C,"410,250"
E01001463,Enfield 031A,"440,500"
E01001464,Enfield 027E,"420,000"
E01001465,Enfield 031B,"445,000"
E01001466,Enfield 031C,"388,000"
E01001467,Enfield 031D,"391,000"
E01001468,Enfield 010B,"660,000"
E01001469,Enfield 008A,"427,500"
E01001470,Enfield 013B,"655,000"
E01001471,Enfield 010C,"284,000"
